Barrier ID,Site Name,Watershed Name,Structure Type,Assessment Type Completed,Reason for Exclusion,Reason,Notes,
203155,17100138,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"No modeled key habitat. 350 m historically accessible stream upstream, avg gradient 10%. Field measurements of 15%",Unlikely to support key habitat functions given stream gradients. Assess modeled structure 17100802 downstream,
203156,17100139,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"Noted as very high quality habitat, though step-pool/waterfall-like habitat noted downstream, avg gradient 10%",,
203157,17100465,QUES,Stream crossing - OBS,Barrier assessment,Passable,Bridge,,
203160,17100892,QUES,Stream crossing - OBS,Barrier assessment,Passable,Bridge,Trail in Ten Mile Lake Park,
203161,17101267,QUES,Stream crossing - OBS,Barrier assessment,Passable,Open-bottom arch or embedded CBS. Passable,,
203162,17102151,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"No modeled habitat. Mouth of stream modeled gradient is 8%, but low gradient <2% at crossing. Unassessed modeled crossing downstream.",,
203163,17102401,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"Stagnant water, no modeled accessible habitat upstream. Noted as low quality habitat in field.",,
203164,17103150,QUES,Stream crossing - CBS,Barrier assessment,Passable,Scores as passable,Slow moving water flows into debris and vegetation. Culvert crushed slightly at outlet,
203165,17103158,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,Very little flow in stream. No modeled habitat (series of gradient barriers downstream),,
203166,17103156,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,Very little flow in stream. No modeled habitat (series of gradient barriers downstream),,
203167,17103156,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,Channel dries up 5 m downstream of outlet and upstream of stagnant pool at inlet. No modeled habitat (series of gradient barriers downstream),,
203168,17103159,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,Very little flow in stream. No modeled habitat (series of gradient barriers downstream). Woodfrogs observed in stream,,
203169,17103160,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,Very little flow in stream. No modeled habitat (series of gradient barriers downstream). Frogs and large toad observed in stream,,
203172,1017103430,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,Muddy substrate with low habitat value,,
203174,17103605,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,Low quality habitat high up in watershed,,
203175,17103754,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,High up in watershed,"Sandy substrate, lots of toads sighted",
203176,17103757,QUES,Stream crossing - OBS,Barrier assessment,Passable,Bridge,,
203177,17103760,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"Low habitat quality, short potential habitat gain",,
203178,17104146,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"High up in watershed, modeled 15% gradient barrier downstream",,
203179,1017104305,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"High up in watershed, 15% gradient barrier modeled downstream.",,
203180,17104534,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"Low habitat quality, no modeled habitat, near top of watershed",,
203181,24733600,QUES,Stream crossing - OBS,Barrier assessment,Passable,Bridge,,
203182,24733602,QUES,Stream crossing - CBS,Barrier assessment,Passable,Concrete box culvert scores as passable.,No water in stream with no evidence of water in years. ,
203183,17103430-2,QUES,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"High up in watershed, poor habitat quality, limited flows.","Culvert at beaver pond, inlet completely submerged in stagnant water. Beaver sighted in pool with dammed water. Channel dissipates into vegetation with small flow.",
203189,17102700,QUES,Stream crossing - OBS,Barrier assessment,Passable,Bridge,,
203190,,QUES,Stream crossing - OBS,Barrier assessment,Passable,Bridge,,
203184,17104146-2,,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"High up in watershed, modeled 15% gradient barrier downstream",unmapped stream,
1017100009,,,None,Informal assessment,No structure,No culvert crossing the highway at this spot,No modeled habitat on this stream,
1017100874,,,None,Informal assessment,No structure,No structure,Old trail in Ten Mile Lake Park,
1017101255,,,None,Barrier assessment,No structure,No crossing present,Cedar Creek diffuses and has no defined channel before reaching Quesnel Lake. Fish in stream at terminus.,
1017100882,,,None,Informal assessment,No structure,No crossing,crossing located on old trail. No barrier.,
1017103908,,,None,Barrier assessment,No structure and key upstream habitat,,none,
1017101005,,,None,Informal assessment,No structure and key upstream habitat,"No road present, no channel farther upstream",connects to other point further upstream where there was no channel so assuming no channel here either. No road present.,
1001501281,,,None,Barrier assessment,No structure,,"No culvert. Old road crossing pulled 10+ years ago. Alder, large cobbles.",
1017100488,,,None,Barrier assessment,No structure and key upstream habitat,,"In bush off Horsefly-Likely FSR. Very old road, overgrown. No water or channel seen, slightly wet corridor.",
1002300291,,,Dam,Barrier assessment,No structure,,"River left has an old concrete, log, and metal cribbing structure located on the bank immediately adjacent to the stream, perhaps used to draft water from stream. Large angle iron driven vertically into stream bed and intake pipe visible in stream bed. No manmade barrier to fish passage at this location, but there is a beaver dam present immediately downstream of structure.",
1017100828,,,Stream crossing - Ford,Informal assessment,No structure,Ford,,
1017102110,,,None,Informal assessment,No structure,No structure,Tiny trail where road is supposed to be. May just be a game trail at this point. Small amount of water crosses trail but no structure present,
1001501282,,,None,Barrier assessment,No structure,,Bridge has been removed in the last 1-2 years. Saw 1 juvenile Ranbow Trout and 10+ juveniles of unknown species present.,
1017100140,,,None,Informal assessment,No structure and key upstream habitat,No channel or structure,No modeled habitat,
1001501277,,,None,Barrier assessment,No structure,,"Low, marshy ground on either side of road, with small lake to south, wetland to north. Depression in road possibly from culvert removal.",
1017103896,,,None,Barrier assessment,No structure and key upstream habitat,,"Old clear area, may be part of mine. Cleared in the last 1-3 years. Small (2x2m) wetland with cattails seen, but no water or streams. No culverts.",
1017102456,,,None,Informal assessment,No structure,No structure seen at this point,no modeled habitat,
203186,17104534-2,,Stream crossing - CBS,Barrier assessment,Passable,"Passable, no key habitat",Toads present. Unmapped stream,
1017100011,,,None,Informal assessment,No structure,No road,,
1017100098,,,None,Barrier assessment,No structure and key upstream habitat,,No wetland/water. No culvert seen on road. Private property on either side of road.,
1017102109,,,None,Informal assessment,No structure,,No crossing,Tiny trail where road is supposed to be. May just be a game trail at this point. Small amount of water crosses trail but no structure present
1017102191,,,None,Barrier assessment,No structure and key upstream habitat,,"No water or wetland. Possible culvert removed at old road, shallow overgrown ditch. No culvert seen.",
1017102208,,,None,Barrier assessment,No structure and key upstream habitat,,"Very old road, overgrown. No crossing found. Slightly wet area but no water seen.",
1017100487,,,None,Barrier assessment,No structure and key upstream habitat,,"In bush off Horsefly-Likely FSR. Very old road, overgrown. No water or channel seen, slightly wet corridor.",
1017100841,,,Other,Informal assessment,No structure and key upstream habitat,No stream,No water seen and no structure suspected but could not access due to private property. Slight wet area to south of road.,
1001501683,,,None,Informal assessment,No structure,No road or crossing visible. ,"Water flowing well with large stream, no barrier in sight. Could not reach due to extremely steep bank and deep valley but no crossing visible from main road.",
1017101308,,,None,Informal assessment,No structure and key upstream habitat,No structure or channel present,,
203185,1017104146-3,,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"Low habitat quality, high up in watershed, modeled 15% gradient barrier downstream.",unmapped stream,
1001501283,,,None,Barrier assessment,No structure,,"No sign of a crossing but old, grown-in road nearby. Wetland downstream.",
